Langname	Vorname	ID	Klasse	Beginndatum	Beginnzeit	Enddatum	Endzeit	Unterbrechungen	Abwesenheitsgrund	Text/Grund	Entschuldigungsnummer	Status	Entschuldigungstext	gemeldet von Schüler*in
Papagei	Enzo	papagei_mustafa	ZHN 02	17.10.2023	08:00	17.10.2023	08:03		V		322527	nicht entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	18.10.2023	08:00	18.10.2023	11:15		N		323215	nicht entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	19.10.2023	08:00	19.10.2023	17:00		A	7:26	323534	entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	20.10.2023	08:00	20.10.2023	09:30		N		324031	nicht entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	09.11.2023	08:00	09.11.2023	17:00		N		325658	nicht entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	10.11.2023	08:00	10.11.2023	17:00		N		326199	nicht entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	14.11.2023	08:05	14.11.2023	09:30		N		326879	nicht entsch.		false
Papagei	Enzo	papagei_mustafa	ZHN 02	15.11.2023	08:00	15.11.2023	17:00		N		327313	nicht entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	01.09.2023	08:00	01.09.2023	18:30		A		310127	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	14.09.2023	08:00	14.09.2023	17:00		A	7:20	313564	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	18.09.2023	08:00	18.09.2023	08:23		V	Klima-Kleber	314321	nicht entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	28.09.2023	08:00	28.09.2023	17:00		A	07:46	317528	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	10.10.2023	08:00	10.10.2023	17:00		A	7:13	320147	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	12.10.2023	13:30	12.10.2023	14:00		S		321550	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	19.10.2023	11:35	20.10.2023	17:00		A		323913	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	13.11.2023	08:00	13.11.2023	17:00		K		326351	entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	14.11.2023	08:00	14.11.2023	17:00		N		326881	nicht entsch.		false
Elefant	Marc	Elefant_Marc	ZHN 02	15.11.2023	08:00	15.11.2023	17:00		N		327314	nicht entsch.		false
Spinne	Sabine	spinne_sabine	ZHN 02	07.09.2023	08:00	07.09.2023	08:16		V		311391	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	29.08.2023	08:00	29.08.2023	18:30		K		309071	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	05.09.2023	08:00	05.09.2023	18:30		K	07:18	310721	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	06.09.2023	08:00	06.09.2023	09:30		P	07:37	311137	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	07.09.2023	08:00	07.09.2023	08:10		V		311395	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	13.09.2023	08:00	13.09.2023	17:00		K		313058	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	14.09.2023	08:00	14.09.2023	17:00		A	7:33	313578	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	18.09.2023	08:00	18.09.2023	08:12		V		314324	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	19.09.2023	08:00	19.09.2023	17:00		A	9:13	314869	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	25.09.2023	08:00	25.09.2023	08:11		V		316433	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	26.09.2023	09:45	26.09.2023	09:55		V		316947	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	28.09.2023	08:00	28.09.2023	08:06		V		317531	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	29.09.2023	08:00	29.09.2023	17:00		A	8:10	317960	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	04.10.2023	08:00	04.10.2023	08:06		V		318656	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	06.10.2023	12:04	06.10.2023	17:00		N		319689	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	09.10.2023	08:00	10.10.2023	17:00		A	Di 10.10. um 11:14 Uhr	319785	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	12.10.2023	08:00	12.10.2023	09:30		P	07:54	321205	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	16.10.2023	08:00	16.10.2023	08:08		V		322069	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	17.10.2023	08:00	17.10.2023	17:00		K		322688	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	18.10.2023	08:00	19.10.2023	17:00		A	18.10. um 17:56	323217	entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	06.11.2023	08:00	06.11.2023	08:24		V	Zugausfall	324408	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	08.11.2023	08:00	08.11.2023	11:15		N		325279	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	13.11.2023	08:00	13.11.2023	17:00		N		326353	nicht entsch.		false
Zebra	Tom	Zebra_Tom	ZHN 02	14.11.2023	08:00	14.11.2023	09:30		P	Arzttermin der Mutter	326882	entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	04.09.2023	08:00	04.09.2023	13:30		P	Wohnungsbesichtigung	310333	entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	08.09.2023	11:35	08.09.2023	17:00		N		312109	nicht entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	21.09.2023	13:30	21.09.2023	15:00		P	Wohnungsbesichtigung	315996	entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	29.09.2023	08:00	29.09.2023	17:00		K	6:30	317963	entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	04.10.2023	08:00	05.10.2023	17:00		A	06:59	318573	entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	12.10.2023	08:00	12.10.2023	08:10		V		321207	nicht entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	16.10.2023	08:00	16.10.2023	08:08		V		322071	nicht entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	19.10.2023	08:00	19.10.2023	08:03		V		323688	nicht entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	20.10.2023	08:00	20.10.2023	08:17		V		324032	nicht entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	14.11.2023	08:06	14.11.2023	09:30		N		326883	nicht entsch.		false
Igel	Serhan	levitchi_serhan	ZHN 02	15.11.2023	11:35	15.11.2023	15:00		P		327156	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	15.09.2023	08:00	15.09.2023	17:00		A	6:38	314010	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	19.09.2023	08:00	19.09.2023	17:00		A		314870	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	20.09.2023	08:00	20.09.2023	17:00		K	6:32	315386	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	26.09.2023	09:45	26.09.2023	10:05		V	Stau	316949	nicht entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	29.09.2023	13:30	29.09.2023	17:00		N		318294	nicht entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	09.10.2023	08:00	09.10.2023	17:00		A	8:00	319786	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	11.10.2023	09:45	11.10.2023	17:00		N		320997	nicht entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	13.10.2023	08:00	13.10.2023	18:30		A	16.10.2023 11:33	321962	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	17.10.2023	08:00	17.10.2023	17:00		A		322689	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	20.10.2023	08:00	20.10.2023	17:00		A		324034	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	06.11.2023	08:00	06.11.2023	18:30		K	06.11.2023 00:30	324410	entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	09.11.2023	08:00	09.11.2023	09:30		N		325662	nicht entsch.		false
Moskito	Zekeria	Moskito_Zekeria	ZHN 02	10.11.2023	08:00	10.11.2023	17:00		A	13.11.	326200	entsch.		false
Maus	Maggi	Maus_Maggi	ZHN 02	01.09.2023	08:00	01.09.2023	18:30		A	01.09. 06:18	309994	entsch.		false
Maus	Maggi	Maus_Maggi	ZHN 02	11.10.2023	09:45	11.10.2023	17:00		K	06:10	321000	entsch.		false
Maus	Maggi	Maus_Maggi	ZHN 02	20.10.2023	08:00	20.10.2023	17:00		K		324033	entsch.		false
Maus	Maggi	Maus_Maggi	ZHN 02	09.11.2023	08:00	09.11.2023	09:30		P	07:17 Uhr  Darmprobleme	325663	entsch.		false
Maus	Maggi	Maus_Maggi	ZHN 02	14.11.2023	08:00	15.11.2023	17:00		A		326885	entsch.		false
Maus	Maggi	Maus_Maggi	ZHN 02	16.11.2023	13:30	16.11.2023	18:30		K	Zahnarzttermin 05.11.2023 18:14	324533	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	29.08.2023	13:30	29.08.2023	17:00		K	vom Sekretariat nach Hause geschickt	309375	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	31.08.2023	08:00	01.09.2023	18:30		A	31.08.2023 08:04	309754	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	04.09.2023	08:00	05.09.2023	18:30		A	11:35	310340	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	07.09.2023	08:00	07.09.2023	17:00		A	10.09.2023, 11:12	311406	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	11.09.2023	08:00	11.09.2023	17:00		K	7:53	312233	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	13.09.2023	08:00	13.09.2023	17:00		K	13.09.2023, 07:49	313071	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	18.09.2023	08:00	22.09.2023	17:00		A	7:57	315749	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	25.09.2023	13:30	25.09.2023	15:00		K	Schüler hat sich um 13:05 krank abgemeldet	316688	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	28.09.2023	08:00	28.09.2023	08:05		V	hat sich zu 13:30 krank abgemeldet	317537	nicht entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	28.09.2023	13:30	28.09.2023	15:00		K		317884	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	29.09.2023	08:00	29.09.2023	17:00		K	7:44	317972	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	05.10.2023	08:00	09.10.2023	18:30		A	9.10.2023 17:27	319788	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	10.10.2023	08:00	10.10.2023	17:00		A	Mi 11.10. um 11:50	320394	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	13.10.2023	11:35	13.10.2023	17:00		A	27.10.2023, 17:33	321964	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	17.10.2023	08:00	17.10.2023	17:00		K		322691	entsch.		false
Katze	Theresa	Katze_Theresa	ZHN 02	07.11.2023	09:45	07.11.2023	17:00		K		325000	entsch.		false
Hund	Vera	Hund_Vera	ZHN 02	29.08.2023	09:45	29.08.2023	13:30		P	Stundenplaneintragung verpeilt	309320	entsch.		false
Hund	Vera	Hund_Vera	ZHN 02	30.08.2023	08:00	30.08.2023	09:30		P	Stundenplaneintragung verpeilt	309527	entsch.		false
Hund	Vera	Hund_Vera	ZHN 02	19.09.2023	08:00	20.09.2023	17:00		A		314873	entsch.		false
Hund	Vera	Hund_Vera	ZHN 02	28.09.2023	09:45	28.09.2023	10:30		P	Mietvertrag unterschreiben	317283	entsch.		false
Hund	Vera	Hund_Vera	ZHN 02	28.09.2023	13:30	28.09.2023	15:00		N		317885	nicht entsch.		false
